jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_1afdefad-08e6-461c-9bd1-9129df25c8ea.h5_9,Jogador_026bdb4f-f440-4bf0-b02b-974b42bde800.h5_8,Jogador_d6bb2268-5742-4ba1-af27-729e9e070bb5.h5_6,Jogador_697edd66-5ef6-441f-bcbb-a844d2bba282.h5_6,Jogador_4797c54c-c702-47e7-84c6-9010c2ead902.h5_3,Jogador_a5129c05-d7ef-446e-8363-f9bd73590673.h5_3,Jogador_3c043978-8c30-4c87-b015-2f3c15a474a3.h5_2,Jogador_cdc605d0-5a6b-466d-8c54-ab8591432278.h5_2,Jogador_76e02601-262a-4594-a99e-b30597e5416b.h5_1,Jogador_b796b4d1-bda8-4b44-b29a-0fa63bbe4c01.h5_-2,Jogador_df1563cf-dc6f-41c4-a305-3963b66ae2d2.h5_-3,Jogador_c102945a-3c6e-44c7-95de-996a4541bc19.h5_-4,Jogador_d249578f-1f0a-4541-914a-742a10505fda.h5_-4,Jogador_23b4b9c6-cc58-4691-97ca-db99efd31816.h5_-4,Jogador_3d76e69f-bd1d-496f-9b8b-0c0dcfc52d37.h5_-4,Jogador_3ef6b9a2-22dc-48c0-b133-62e92333ab76.h5_-5,Jogador_f7a78018-9afd-4b5a-a3c5-7884097977c3.h5_-5,Jogador_bbf5dd24-9b96-4570-9c08-f05ace22bb28.h5_-6,Jogador_c8408794-8e65-46e1-bb14-8d59842632ae.h5_-6,Jogador_ef8f76b5-6978-4bad-b460-5906604c00cd.h5_-6,Jogador_3bd728a1-a1d4-4bee-a9db-d93df878009e.h5_-7,Jogador_8c61f3ba-948b-4140-bf3e-8497f75bcb21.h5_-8,Jogador_28cc612b-448d-463d-957a-748768ffb7bb.h5_-9,Jogador_078096e0-476c-4674-b2a2-0f6ee3d2fc00.h5_-9,Jogador_786c2f32-8371-41e1-b14a-5d5770287e6f.h5_-9,Jogador_1ef87cb4-d960-4667-b3a7-44831c6cbbad.h5_-12,Jogador_198f302b-d773-4633-82cc-cb209627b02d.h5_-13,Jogador_aa914b0d-9eb1-4de8-b688-f1c34255f9d7.h5_-13,Jogador_dfdc854c-b558-4b45-bf68-220b83f3fce7.h5_-15,Jogador_b5adc2f4-5e83-416a-9971-e57c174d3326.h5_-17
Jogador_a7c8d617-eb9d-4353-ada0-0d20b8de873d.h5_8,Jogador_1afdefad-08e6-461c-9bd1-9129df25c8ea.h5_7,Jogador_d6bb2268-5742-4ba1-af27-729e9e070bb5.h5_4,Jogador_76e02601-262a-4594-a99e-b30597e5416b.h5_3,Jogador_5fdf9741-751d-491f-bc6b-b68b6ff3068f.h5_2,Jogador_5375a1f3-69b9-4a1e-a9dd-872759929d37.h5_2,Jogador_05e3aafd-40ac-4ad1-9305-80d093817837.h5_2,Jogador_4e3c8bd8-2116-48ae-9d36-79a29844b3fc.h5_1,Jogador_18f20363-b99d-4ad3-88f9-2e877dc472c5.h5_0,Jogador_026bdb4f-f440-4bf0-b02b-974b42bde800.h5_0,Jogador_cdc605d0-5a6b-466d-8c54-ab8591432278.h5_0,Jogador_d249578f-1f0a-4541-914a-742a10505fda.h5_-1,Jogador_691ab845-49cc-4bcd-ace3-d1f8871ed373.h5_-2,Jogador_bd2639c7-5d76-4424-9550-82e481104686.h5_-2,Jogador_d72c93c0-4455-46b4-9412-5d6a30fe2a0a.h5_-4,Jogador_1be595f2-c40c-4966-80b0-160b44c260eb.h5_-4,Jogador_6fa8d6a2-9f48-4a51-8c4f-ad4aa336e960.h5_-5,Jogador_4797c54c-c702-47e7-84c6-9010c2ead902.h5_-6,Jogador_3c043978-8c30-4c87-b015-2f3c15a474a3.h5_-8,Jogador_697edd66-5ef6-441f-bcbb-a844d2bba282.h5_-8,Jogador_a5129c05-d7ef-446e-8363-f9bd73590673.h5_-8,Jogador_7bdeba49-b031-4ccf-88aa-d7c302209524.h5_-9,Jogador_b796b4d1-bda8-4b44-b29a-0fa63bbe4c01.h5_-9,Jogador_cee7f3fc-9c80-44d7-abb2-67a24ff331a5.h5_-10,Jogador_df1563cf-dc6f-41c4-a305-3963b66ae2d2.h5_-11,Jogador_23b4b9c6-cc58-4691-97ca-db99efd31816.h5_-11,Jogador_e336e645-283a-4f1b-bfdf-90cdba482991.h5_-12,Jogador_3d76e69f-bd1d-496f-9b8b-0c0dcfc52d37.h5_-12,Jogador_a308f003-bb4a-46c1-b6f4-b748d9b87aff.h5_-13,Jogador_c102945a-3c6e-44c7-95de-996a4541bc19.h5_-14
Jogador_aaa1082b-9a7b-4ccb-8ede-883438475653.h5_10,Jogador_1afdefad-08e6-461c-9bd1-9129df25c8ea.h5_8,Jogador_4d3ec9a6-46da-483f-9550-86cbbd054719.h5_6,Jogador_4f4a5665-f32e-4e12-a894-df861621ac28.h5_5,Jogador_fc6cbb48-1021-4d8c-a070-e1ddcceb9fbb.h5_4,Jogador_fd00d3ba-f423-44c5-ab37-fedf9356d19f.h5_2,Jogador_76e02601-262a-4594-a99e-b30597e5416b.h5_1,Jogador_a7c8d617-eb9d-4353-ada0-0d20b8de873d.h5_0,Jogador_18f20363-b99d-4ad3-88f9-2e877dc472c5.h5_-1,Jogador_03cb8e40-d526-4292-af6d-f8f2cec18403.h5_-1,Jogador_691ab845-49cc-4bcd-ace3-d1f8871ed373.h5_-2,Jogador_5fdf9741-751d-491f-bc6b-b68b6ff3068f.h5_-3,Jogador_4e3c8bd8-2116-48ae-9d36-79a29844b3fc.h5_-3,Jogador_bd2639c7-5d76-4424-9550-82e481104686.h5_-3,Jogador_1024932d-d1e9-454c-b889-bff9ba317a25.h5_-4,Jogador_d249578f-1f0a-4541-914a-742a10505fda.h5_-4,Jogador_d4ca04e8-9af8-475d-81d4-69398059d7e8.h5_-5,Jogador_05e3aafd-40ac-4ad1-9305-80d093817837.h5_-5,Jogador_444e3203-9901-4548-84f9-5cdaa3712458.h5_-7,Jogador_26985ac6-7cfc-42a1-818a-fcecbf7fa1a0.h5_-7,Jogador_d6bb2268-5742-4ba1-af27-729e9e070bb5.h5_-7,Jogador_cdc605d0-5a6b-466d-8c54-ab8591432278.h5_-7,Jogador_ceee4b46-c9e2-4451-b022-a9b43178eac6.h5_-8,Jogador_878bfa83-ff2e-4ee0-b836-3b42201ddb2b.h5_-8,Jogador_27814487-46ac-4004-81c3-c6e43a93d082.h5_-11,Jogador_d72c93c0-4455-46b4-9412-5d6a30fe2a0a.h5_-12,Jogador_08bb9739-a8ee-4cf5-9fe5-e67223de37d2.h5_-12,Jogador_026bdb4f-f440-4bf0-b02b-974b42bde800.h5_-13,Jogador_e1b0dd69-fe96-48ed-8211-473a6216eeb9.h5_-15,Jogador_5375a1f3-69b9-4a1e-a9dd-872759929d37.h5_-15
Jogador_5fdf9741-751d-491f-bc6b-b68b6ff3068f.h5_4,Jogador_1afdefad-08e6-461c-9bd1-9129df25c8ea.h5_4,Jogador_fc6cbb48-1021-4d8c-a070-e1ddcceb9fbb.h5_3,Jogador_f1d3bff1-f33a-476b-8b4b-573d4a84c377.h5_3,Jogador_fc77bf36-97fe-48a5-8fea-a2eb1c7c56b0.h5_3,Jogador_3e3ee7bf-c0e2-4fd8-bdca-f6989b088265.h5_2,Jogador_cc7b856f-17c5-4ad3-beaf-b6f5a2cfdef9.h5_2,Jogador_4f4a5665-f32e-4e12-a894-df861621ac28.h5_2,Jogador_aaa1082b-9a7b-4ccb-8ede-883438475653.h5_1,Jogador_a7c8d617-eb9d-4353-ada0-0d20b8de873d.h5_0,Jogador_10fa9ed5-2709-47f8-afdf-fc9cce035b5f.h5_-1,Jogador_4d3ec9a6-46da-483f-9550-86cbbd054719.h5_-3,Jogador_588fa13a-5dc3-4d00-83d0-af4bfdf5eb00.h5_-3,Jogador_89dc486d-f89c-4200-944c-d93f3ae1e669.h5_-4,Jogador_03cb8e40-d526-4292-af6d-f8f2cec18403.h5_-4,Jogador_c66616e6-c0b6-4a05-8b31-facdb67f840a.h5_-5,Jogador_fbe4d9aa-8381-4822-9355-38c2de363a6a.h5_-5,Jogador_c76a2c05-aae9-4db3-961b-f5753924fd31.h5_-5,Jogador_691ab845-49cc-4bcd-ace3-d1f8871ed373.h5_-6,Jogador_4e3c8bd8-2116-48ae-9d36-79a29844b3fc.h5_-6,Jogador_18f20363-b99d-4ad3-88f9-2e877dc472c5.h5_-7,Jogador_76e02601-262a-4594-a99e-b30597e5416b.h5_-7,Jogador_bd2639c7-5d76-4424-9550-82e481104686.h5_-8,Jogador_3cfab7b9-a8af-4f53-8831-3bc1f5c8572a.h5_-9,Jogador_c2910208-c62d-45aa-b915-fb27da3557ac.h5_-11,Jogador_5c82be10-57f2-4fb1-9fc5-8d3ffc1f54e9.h5_-12,Jogador_ffb17dd3-2e1f-4006-b5c0-70da20a1d45d.h5_-12,Jogador_1024932d-d1e9-454c-b889-bff9ba317a25.h5_-12,Jogador_fd00d3ba-f423-44c5-ab37-fedf9356d19f.h5_-12,Jogador_ef7ab7a1-d302-4248-8639-cc89a66f36af.h5_-17
Jogador_7e0c381f-91b2-4c36-85bf-7fb2e2b1b99b.h5_10,Jogador_01aaf12b-311c-43dc-a96b-941dc9e24144.h5_4,Jogador_aff25acd-1e8e-4f30-98f8-3d3c265fa1cb.h5_1,Jogador_d7a46b51-e507-4baf-9870-55e68ca516de.h5_1,Jogador_e3c4d908-3024-49d9-8e1a-ee306585b642.h5_-1,Jogador_c1ba0844-18b3-4100-9d2c-491bb2313209.h5_-2,Jogador_3e3ee7bf-c0e2-4fd8-bdca-f6989b088265.h5_-2,Jogador_10fa9ed5-2709-47f8-afdf-fc9cce035b5f.h5_-2,Jogador_fc77bf36-97fe-48a5-8fea-a2eb1c7c56b0.h5_-2,Jogador_588fa13a-5dc3-4d00-83d0-af4bfdf5eb00.h5_-2,Jogador_89dc486d-f89c-4200-944c-d93f3ae1e669.h5_-3,Jogador_33b278f8-d293-4007-8a47-189ada6a4e31.h5_-3,Jogador_03cb8e40-d526-4292-af6d-f8f2cec18403.h5_-3,Jogador_470eecb3-e642-4905-9689-f1035c77faa5.h5_-5,Jogador_e3190627-a804-4b43-81e0-3581eb68104b.h5_-5,Jogador_f1d3bff1-f33a-476b-8b4b-573d4a84c377.h5_-5,Jogador_4f4a5665-f32e-4e12-a894-df861621ac28.h5_-5,Jogador_aaa1082b-9a7b-4ccb-8ede-883438475653.h5_-5,Jogador_4d3ec9a6-46da-483f-9550-86cbbd054719.h5_-5,Jogador_a7c8d617-eb9d-4353-ada0-0d20b8de873d.h5_-5,Jogador_1afdefad-08e6-461c-9bd1-9129df25c8ea.h5_-5,Jogador_cc7b856f-17c5-4ad3-beaf-b6f5a2cfdef9.h5_-6,Jogador_6e2daff1-2861-4125-ada6-24f93e2d29e8.h5_-6,Jogador_fc6cbb48-1021-4d8c-a070-e1ddcceb9fbb.h5_-8,Jogador_5fdf9741-751d-491f-bc6b-b68b6ff3068f.h5_-8,Jogador_0634cae7-ea0f-4aff-abe1-6c80d962c0ba.h5_-9,Jogador_00b635fa-a834-4260-ba27-23bbc0a640b5.h5_-9,Jogador_358beefc-d981-4d5d-a2e9-c92554e213a2.h5_-12,Jogador_7da0a6ec-aca6-4bdf-a0c6-234aaef6d016.h5_-17,Jogador_b9874878-a621-462d-b95a-083ab9ebfb82.h5_-17
Jogador_293a0675-194f-466e-a0ed-c7abe1fc14e7.h5_9,Jogador_7e0c381f-91b2-4c36-85bf-7fb2e2b1b99b.h5_6,Jogador_14491220-083e-4575-a326-658452c1a39f.h5_4,Jogador_fc77bf36-97fe-48a5-8fea-a2eb1c7c56b0.h5_3,Jogador_01aaf12b-311c-43dc-a96b-941dc9e24144.h5_1,Jogador_03cb8e40-d526-4292-af6d-f8f2cec18403.h5_1,Jogador_a1c8caa0-43f3-4178-b507-47d3414ec111.h5_0,Jogador_aff25acd-1e8e-4f30-98f8-3d3c265fa1cb.h5_0,Jogador_e0e07d4e-aa01-46e4-8a06-0d913a21272f.h5_-2,Jogador_10fa9ed5-2709-47f8-afdf-fc9cce035b5f.h5_-2,Jogador_33b278f8-d293-4007-8a47-189ada6a4e31.h5_-2,Jogador_e3190627-a804-4b43-81e0-3581eb68104b.h5_-2,Jogador_49637573-d954-4e08-ad7e-41b81e561947.h5_-2,Jogador_d7a46b51-e507-4baf-9870-55e68ca516de.h5_-2,Jogador_470eecb3-e642-4905-9689-f1035c77faa5.h5_-3,Jogador_92ae9036-4687-48cc-b088-9be7a29f01b0.h5_-4,Jogador_1a128c9e-6818-4884-b44d-166e3cbcf73c.h5_-4,Jogador_3e3ee7bf-c0e2-4fd8-bdca-f6989b088265.h5_-4,Jogador_89dc486d-f89c-4200-944c-d93f3ae1e669.h5_-5,Jogador_c1ba0844-18b3-4100-9d2c-491bb2313209.h5_-6,Jogador_f357dcd8-dea7-4197-9804-4d2f6fc1c30a.h5_-6,Jogador_b3b49ed6-2ea0-4e37-9f39-f10ea31108b7.h5_-8,Jogador_d28ead32-89a9-4474-bec3-c9c971dab7da.h5_-8,Jogador_f51591aa-617e-4eae-808b-e40562849559.h5_-8,Jogador_e3c4d908-3024-49d9-8e1a-ee306585b642.h5_-11,Jogador_2b14fdb3-ee36-4ba5-b517-9bb45ce79e6e.h5_-11,Jogador_588fa13a-5dc3-4d00-83d0-af4bfdf5eb00.h5_-13,Jogador_77301909-7223-49b5-a72b-9a15b6fa30dc.h5_-14,Jogador_bde253a6-7e2f-4cf3-a595-6a76437585f7.h5_-14,Jogador_c238a389-8d75-4263-b3f7-9bde925f6031.h5_-17
Jogador_a0160d8a-14bd-4bbe-b3a2-3662bf10a3be.h5_10,Jogador_293a0675-194f-466e-a0ed-c7abe1fc14e7.h5_7,Jogador_a10c1f9b-ffe8-4dd6-a8fa-8a67fcfae53c.h5_7,Jogador_470eecb3-e642-4905-9689-f1035c77faa5.h5_4,Jogador_a49445e5-a5b7-495d-b431-d03c6df0a4cd.h5_3,Jogador_e5cb2362-f974-4570-991e-5da9295fa22b.h5_3,Jogador_27f35617-1562-4a4b-9314-5f1ac0963426.h5_1,Jogador_10fa9ed5-2709-47f8-afdf-fc9cce035b5f.h5_0,Jogador_6c291857-642c-4870-9d54-2516287ee01d.h5_-1,Jogador_aff25acd-1e8e-4f30-98f8-3d3c265fa1cb.h5_-2,Jogador_a1c8caa0-43f3-4178-b507-47d3414ec111.h5_-3,Jogador_bc2d964f-01a2-4e23-81cd-1b968ca9abb6.h5_-3,Jogador_7e0c381f-91b2-4c36-85bf-7fb2e2b1b99b.h5_-3,Jogador_33b278f8-d293-4007-8a47-189ada6a4e31.h5_-4,Jogador_e3190627-a804-4b43-81e0-3581eb68104b.h5_-4,Jogador_e0e07d4e-aa01-46e4-8a06-0d913a21272f.h5_-5,Jogador_03cb8e40-d526-4292-af6d-f8f2cec18403.h5_-5,Jogador_d7a46b51-e507-4baf-9870-55e68ca516de.h5_-5,Jogador_d328784c-64c7-4d85-ae10-34094a1b9896.h5_-6,Jogador_d93584d4-d8af-4d81-9d0d-66d2f616459f.h5_-7,Jogador_0d8f6cce-cec6-43d0-bfb0-2c8858f98004.h5_-7,Jogador_14491220-083e-4575-a326-658452c1a39f.h5_-8,Jogador_df096140-1ace-4861-a407-4e54eb783d9c.h5_-8,Jogador_c4401c38-f05a-4960-8dda-bdcecf8c55e5.h5_-11,Jogador_fc77bf36-97fe-48a5-8fea-a2eb1c7c56b0.h5_-11,Jogador_d12262fc-236e-4bfd-8744-e846898e8190.h5_-11,Jogador_fd1a217f-8cbd-4cfb-82a1-de267f11ec53.h5_-14,Jogador_01aaf12b-311c-43dc-a96b-941dc9e24144.h5_-14,Jogador_0a59d9cc-7f9a-49b9-8915-9ec852122fb1.h5_-17,Jogador_49637573-d954-4e08-ad7e-41b81e561947.h5_-20
Jogador_7e0c381f-91b2-4c36-85bf-7fb2e2b1b99b.h5_7,Jogador_10fa9ed5-2709-47f8-afdf-fc9cce035b5f.h5_6,Jogador_bc2d964f-01a2-4e23-81cd-1b968ca9abb6.h5_4,Jogador_d22f037e-9c49-4ad5-871d-bd4471e60723.h5_3,Jogador_fd450cfd-b57e-4e27-a839-93812ce63d95.h5_3,Jogador_e5cb2362-f974-4570-991e-5da9295fa22b.h5_3,Jogador_a49445e5-a5b7-495d-b431-d03c6df0a4cd.h5_2,Jogador_293a0675-194f-466e-a0ed-c7abe1fc14e7.h5_2,Jogador_f0fb85bb-14f3-4e23-b8bc-447ffc751e22.h5_1,Jogador_4a2dac8c-2293-4027-9f9f-b33ca66abcfa.h5_0,Jogador_027791d6-aea7-4a08-8818-7451a3d4bf26.h5_0,Jogador_27f35617-1562-4a4b-9314-5f1ac0963426.h5_-1,Jogador_b558ef45-7b7b-43ab-80cc-f43d74a1a6db.h5_-3,Jogador_6c291857-642c-4870-9d54-2516287ee01d.h5_-3,Jogador_470eecb3-e642-4905-9689-f1035c77faa5.h5_-3,Jogador_a0160d8a-14bd-4bbe-b3a2-3662bf10a3be.h5_-5,Jogador_f3b5e11c-502e-4cae-9caf-fb4d089bc592.h5_-5,Jogador_a10c1f9b-ffe8-4dd6-a8fa-8a67fcfae53c.h5_-5,Jogador_33b278f8-d293-4007-8a47-189ada6a4e31.h5_-7,Jogador_abdb9c89-3c1d-4830-9525-134f94157aaa.h5_-8,Jogador_ee37e131-ef75-4aea-9c8f-bb6274efbe98.h5_-9,Jogador_a6627804-30a8-4f4c-84f9-088e8fda51ea.h5_-10,Jogador_0901309b-54ce-41e9-a806-e7d51ef6da8d.h5_-10,Jogador_a984e7ca-4a4f-4bd2-acce-900203ee21a6.h5_-11,Jogador_e3190627-a804-4b43-81e0-3581eb68104b.h5_-11,Jogador_0a324d46-eed6-4887-9580-8e84fa9fc125.h5_-12,Jogador_a1c8caa0-43f3-4178-b507-47d3414ec111.h5_-13,Jogador_aff25acd-1e8e-4f30-98f8-3d3c265fa1cb.h5_-15,Jogador_673459f1-ea91-4699-9d6c-9d016cb23407.h5_-17,Jogador_e061e0d2-4a86-4153-b07a-4dd16e262068.h5_-20
Jogador_5259f18f-d111-4d2b-8ec2-568444c36447.h5_3,Jogador_bc2d964f-01a2-4e23-81cd-1b968ca9abb6.h5_2,Jogador_d22f037e-9c49-4ad5-871d-bd4471e60723.h5_1,Jogador_4b3a829a-f405-41cd-aa16-22af101bfb03.h5_1,Jogador_fd450cfd-b57e-4e27-a839-93812ce63d95.h5_1,Jogador_d45cdc3e-ba4c-4480-aaf2-214c0ec6d2b5.h5_1,Jogador_e302fbf9-b5aa-4afa-906a-64fe56ead581.h5_-1,Jogador_a49445e5-a5b7-495d-b431-d03c6df0a4cd.h5_-1,Jogador_65c65255-60ce-480d-84fe-a15c1492ddc5.h5_-2,Jogador_b558ef45-7b7b-43ab-80cc-f43d74a1a6db.h5_-2,Jogador_4a2dac8c-2293-4027-9f9f-b33ca66abcfa.h5_-3,Jogador_34b73acb-8c81-4ba0-91d4-f59d1f4d3fd6.h5_-3,Jogador_6c291857-642c-4870-9d54-2516287ee01d.h5_-3,Jogador_27f35617-1562-4a4b-9314-5f1ac0963426.h5_-3,Jogador_6a0d39a2-38f0-45a2-8db7-a1861c21bb9a.h5_-4,Jogador_ac6c26a1-d525-4c9c-a740-7f7d13cb41fb.h5_-4,Jogador_f0fb85bb-14f3-4e23-b8bc-447ffc751e22.h5_-5,Jogador_027791d6-aea7-4a08-8818-7451a3d4bf26.h5_-5,Jogador_c34cb0bb-abc4-4b8a-91d5-1221342ff1bb.h5_-5,Jogador_a395bab8-d499-442f-924c-4fa67a743b57.h5_-6,Jogador_e5cb2362-f974-4570-991e-5da9295fa22b.h5_-6,Jogador_26d905eb-2fd7-4982-8824-b8da4ca36917.h5_-7,Jogador_293a0675-194f-466e-a0ed-c7abe1fc14e7.h5_-7,Jogador_7e0c381f-91b2-4c36-85bf-7fb2e2b1b99b.h5_-8,Jogador_82780e5e-4b02-46dc-8564-a6851d3ed24e.h5_-9,Jogador_470eecb3-e642-4905-9689-f1035c77faa5.h5_-9,Jogador_834d4ce1-f91e-485c-b0ee-53e87f1b8dde.h5_-10,Jogador_10fa9ed5-2709-47f8-afdf-fc9cce035b5f.h5_-11,Jogador_b03602bb-f1cf-4c21-b5b9-935f02c9e6ca.h5_-13,Jogador_29af38ce-0e38-4fc6-b686-698385425578.h5_-14
Jogador_d22f037e-9c49-4ad5-871d-bd4471e60723.h5_4,Jogador_bc2d964f-01a2-4e23-81cd-1b968ca9abb6.h5_4,Jogador_dafd9c81-24e9-4e64-a71b-1a077a98401c.h5_2,Jogador_5259f18f-d111-4d2b-8ec2-568444c36447.h5_2,Jogador_65c65255-60ce-480d-84fe-a15c1492ddc5.h5_1,Jogador_12e0f88d-ec28-4bd3-bdeb-ad33f36a7f05.h5_0,Jogador_172a8ba2-3846-437c-84d8-a17a236ee07c.h5_0,Jogador_bb943155-1067-4817-a4bf-24b1d2e92d9e.h5_-2,Jogador_d177455e-0d4c-44fe-b394-cf7a4c68afeb.h5_-2,Jogador_b558ef45-7b7b-43ab-80cc-f43d74a1a6db.h5_-2,Jogador_b8121f62-bc26-4c29-a3b6-3e9290c87872.h5_-2,Jogador_fd450cfd-b57e-4e27-a839-93812ce63d95.h5_-2,Jogador_ca530024-35e3-4c08-91a3-afef5061a8c8.h5_-3,Jogador_4b3a829a-f405-41cd-aa16-22af101bfb03.h5_-5,Jogador_e302fbf9-b5aa-4afa-906a-64fe56ead581.h5_-5,Jogador_34b73acb-8c81-4ba0-91d4-f59d1f4d3fd6.h5_-5,Jogador_d45cdc3e-ba4c-4480-aaf2-214c0ec6d2b5.h5_-5,Jogador_2f9ff634-44dc-4404-9359-7430c9cb6a83.h5_-6,Jogador_a0493997-2359-4cff-ac2f-f0acadaa9474.h5_-6,Jogador_dd306584-882a-403d-a16b-2350bdba63d7.h5_-6,Jogador_4a2dac8c-2293-4027-9f9f-b33ca66abcfa.h5_-8,Jogador_82ab1b4d-2480-4415-bb39-cd7df8436a75.h5_-8,Jogador_6c291857-642c-4870-9d54-2516287ee01d.h5_-8,Jogador_fc8d8603-7b0f-4113-9e46-31a44cccb827.h5_-9,Jogador_27f35617-1562-4a4b-9314-5f1ac0963426.h5_-9,Jogador_6a0d39a2-38f0-45a2-8db7-a1861c21bb9a.h5_-11,Jogador_fc0abc53-53e8-42c8-914c-866bb8acd2b5.h5_-11,Jogador_c32eae53-92dd-412f-88b1-2a7ee5e00b33.h5_-11,Jogador_85ad3cc3-555c-4f22-babd-88811f8b4635.h5_-14,Jogador_a49445e5-a5b7-495d-b431-d03c6df0a4cd.h5_-15
