jogador1,jogador2,jogador3,jogador4,jogador5,jogador6,jogador7,jogador8,jogador9,jogador10,jogador11,jogador12,jogador13,jogador14,jogador15,jogador16,jogador17,jogador18,jogador19,jogador20,jogador21,jogador22,jogador23,jogador24,jogador25,jogador26,jogador27,jogador28,jogador29
Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_20,Jogador_024692ca-e6b7-420c-b736-278eec75cb12.h5_12,Jogador_7c4368a3-baab-4592-8fcc-66c71a80dc56.h5_5,Jogador_28baf644-5023-4c25-94fe-4bf21364266e.h5_3,Jogador_1d6cd45a-3bdd-4d5a-96a0-c80252ee2784.h5_2,Jogador_df853d38-3469-48c1-839a-73a197d60e59.h5_1,Jogador_743ede6d-0ffb-4343-93b5-3666cc053fb2.h5_-7,Jogador_bfa1b022-6b98-4a6c-ac58-17fdde4b7dc0.h5_-10,Jogador_bf977f3d-7bde-498c-be3d-6defd6a02e48.h5_-10,Jogador_ea8bd38f-f34f-4c82-9e73-5a326b506abc.h5_-10,Jogador_445c76d1-9e9e-45da-bbbc-4133ed69fa05.h5_-11,Jogador_38557034-1bd9-4790-a71e-36a23e2eadbc.h5_-11,Jogador_e7bf8f11-32dd-4aac-8efb-339dc59759f4.h5_-12,Jogador_e6db6d38-3d50-4458-ad26-0cee7826241e.h5_-17,Jogador_71020117-46cf-427c-bf26-485e4b4682d0.h5_-18,Jogador_ee3e2f93-95e3-4349-83bf-dbfe43ed6c90.h5_-18,Jogador_6e1d6b08-8c9d-4623-b225-5974e763a901.h5_-19,Jogador_732480aa-7e75-44a2-8132-3fd4511b7539.h5_-23,Jogador_45479862-a4d4-439d-86e4-6aae5103e20c.h5_-23,Jogador_9fc6a3e4-2e0b-4c19-899b-8b00e1f4b0f5.h5_-26,Jogador_60018cc2-3097-4b42-b99b-591e4ad0608c.h5_-26,Jogador_ea4dbdb2-c092-4a11-b5cf-0e3189858fd6.h5_-30,Jogador_5d0856b1-c6fa-4309-89e0-76c7d084a214.h5_-31,Jogador_ea2f1094-b12d-4cc6-b1fb-57f7cafd3fea.h5_-33,Jogador_0a5df79a-38ca-4484-a0f9-da9f1a12ba09.h5_-34,Jogador_1afd1cdd-19aa-4c45-9de0-b79514a1f348.h5_-38,Jogador_f4dd4569-5472-41d5-927e-59455ec964bf.h5_-40,Jogador_36336236-685b-4c8d-92e3-74074df2e1b2.h5_-41,Jogador_f10cd603-fc1a-4259-b83e-53176cefe90b.h5_-48,Jogador_8dd0bf36-7ddc-49cf-9a4c-abf4243e574e.h5_-68
Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_16,Jogador_024692ca-e6b7-420c-b736-278eec75cb12.h5_10,Jogador_1d6cd45a-3bdd-4d5a-96a0-c80252ee2784.h5_9,Jogador_1cedbdde-2a04-4693-a683-d65581d7d349.h5_2,Jogador_dcc218b6-7b3b-4081-9eef-7164bbab6344.h5_-4,Jogador_007adfa4-a8cc-48fc-b5d8-bab1daff0e7e.h5_-12,Jogador_17880477-d855-4268-95b6-718bbb6aa15c.h5_-13,Jogador_8813a0b6-6327-455c-b8c2-b20d88a4aae7.h5_-13,Jogador_069d9e25-9ede-4bbd-a2c1-e25a2d220631.h5_-14,Jogador_7c4368a3-baab-4592-8fcc-66c71a80dc56.h5_-14,Jogador_d4046c9c-3ff8-458c-9595-270ca8aa4b6d.h5_-15,Jogador_df853d38-3469-48c1-839a-73a197d60e59.h5_-15,Jogador_bfa1b022-6b98-4a6c-ac58-17fdde4b7dc0.h5_-18,Jogador_ea8bd38f-f34f-4c82-9e73-5a326b506abc.h5_-18,Jogador_445c76d1-9e9e-45da-bbbc-4133ed69fa05.h5_-18,Jogador_d508cb78-70b0-4ad2-a4bd-09f5c4121cae.h5_-6,Jogador_28baf644-5023-4c25-94fe-4bf21364266e.h5_-9,Jogador_ea15350b-eab5-4d69-a187-bf855c90a7ec.h5_-16,Jogador_e9b37c7f-9979-44b9-b633-45c70bd580a8.h5_-20,Jogador_e7bf8f11-32dd-4aac-8efb-339dc59759f4.h5_-20,Jogador_0558e2ea-941b-4297-bcce-e6a5c081dd19.h5_-26,Jogador_bf977f3d-7bde-498c-be3d-6defd6a02e48.h5_-26,Jogador_743ede6d-0ffb-4343-93b5-3666cc053fb2.h5_-31,Jogador_e6db6d38-3d50-4458-ad26-0cee7826241e.h5_-31,Jogador_71020117-46cf-427c-bf26-485e4b4682d0.h5_-33,Jogador_38557034-1bd9-4790-a71e-36a23e2eadbc.h5_-33,Jogador_386c933f-3c30-4d11-96bf-a34f98098099.h5_-34,Jogador_22a1a2f7-a03f-4b14-8b08-1f560d4a445b.h5_-39,Jogador_e177f716-ffd2-4199-a699-0ab3cb2a58d2.h5_-44,Jogador_68f8e286-3cf0-4685-bb53-f54257cebf49.h5_-53
Jogador_8813a0b6-6327-455c-b8c2-b20d88a4aae7.h5_4,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_3,Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_-3,Jogador_dcc218b6-7b3b-4081-9eef-7164bbab6344.h5_-3,Jogador_75a9006f-6125-4dd3-8b27-6b7acef41963.h5_-3,Jogador_1d6cd45a-3bdd-4d5a-96a0-c80252ee2784.h5_-4,Jogador_eccb599b-98ff-4d39-a888-ea01b7d09a76.h5_-5,Jogador_024692ca-e6b7-420c-b736-278eec75cb12.h5_-6,Jogador_bfa1b022-6b98-4a6c-ac58-17fdde4b7dc0.h5_-9,Jogador_442a94dd-4454-4a1f-985b-d21ff067d4a7.h5_-10,Jogador_d4046c9c-3ff8-458c-9595-270ca8aa4b6d.h5_-12,Jogador_007adfa4-a8cc-48fc-b5d8-bab1daff0e7e.h5_-13,Jogador_1cedbdde-2a04-4693-a683-d65581d7d349.h5_-14,Jogador_445c76d1-9e9e-45da-bbbc-4133ed69fa05.h5_-14,Jogador_f9a45ef7-8688-42c9-96c1-3acf38e98e6b.h5_-15,Jogador_1b2c240b-3d1a-498b-be1e-ecce4fc55123.h5_-14,Jogador_25a13a5b-b517-42da-bbb1-f9a4ca8f3572.h5_-16,Jogador_ec54e1cf-c33e-49e4-a76d-69bc7d84605f.h5_-17,Jogador_df853d38-3469-48c1-839a-73a197d60e59.h5_-19,Jogador_069d9e25-9ede-4bbd-a2c1-e25a2d220631.h5_-20,Jogador_7c4368a3-baab-4592-8fcc-66c71a80dc56.h5_-20,Jogador_31494969-e42b-471d-918b-1871d952dd2e.h5_-23,Jogador_ea8bd38f-f34f-4c82-9e73-5a326b506abc.h5_-26,Jogador_6c0527cb-fc2a-4bd9-8540-a63076fba617.h5_-29,Jogador_4c4d054b-13ad-46c8-90a5-62e80d475076.h5_-29,Jogador_c6c22a17-4c12-4157-a895-4bd13b9fb17a.h5_-32,Jogador_407114d6-f63d-4a7a-af5e-436c47e92126.h5_-32,Jogador_9e02c1da-f39a-4f94-9e44-6873c223c67f.h5_-33,Jogador_17880477-d855-4268-95b6-718bbb6aa15c.h5_-41,Jogador_7c294f34-135f-4052-b651-64d8ec0d9b12.h5_-63
Jogador_719f3d79-ede2-4d14-939c-77ac3984cc26.h5_10,Jogador_e8993888-8fbf-4c41-8f11-06e4b138ce60.h5_9,Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_0,Jogador_024692ca-e6b7-420c-b736-278eec75cb12.h5_0,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_-6,Jogador_75a9006f-6125-4dd3-8b27-6b7acef41963.h5_-7,Jogador_bfa1b022-6b98-4a6c-ac58-17fdde4b7dc0.h5_-7,Jogador_34d09a18-6ad3-44b4-9eec-4108332816ce.h5_-9,Jogador_442a94dd-4454-4a1f-985b-d21ff067d4a7.h5_-9,Jogador_ef71f9ce-1439-4092-aa82-ea33069cf8fc.h5_-9,Jogador_1d6cd45a-3bdd-4d5a-96a0-c80252ee2784.h5_-9,Jogador_8ea82cb4-23ae-46ed-a437-c1fdfa0017d0.h5_-13,Jogador_be765b6f-c567-4934-907a-de3e0f7aedf8.h5_-13,Jogador_445c76d1-9e9e-45da-bbbc-4133ed69fa05.h5_-17,Jogador_f9a45ef7-8688-42c9-96c1-3acf38e98e6b.h5_-23,Jogador_ff2831ea-1222-4991-b118-5e838bb4f4c8.h5_-12,Jogador_a6492050-4c1a-450d-9470-cdf3479b73ca.h5_-14,Jogador_8813a0b6-6327-455c-b8c2-b20d88a4aae7.h5_-14,Jogador_dcc218b6-7b3b-4081-9eef-7164bbab6344.h5_-14,Jogador_9748e5e4-e231-43b5-98c7-a1967fd10bd0.h5_-22,Jogador_eccb599b-98ff-4d39-a888-ea01b7d09a76.h5_-24,Jogador_b58073fa-1abd-4239-b244-4210f278d3c2.h5_-25,Jogador_007adfa4-a8cc-48fc-b5d8-bab1daff0e7e.h5_-27,Jogador_1cedbdde-2a04-4693-a683-d65581d7d349.h5_-32,Jogador_dc2b9b49-5ca6-46a5-9a31-d02742e43205.h5_-35,Jogador_d4046c9c-3ff8-458c-9595-270ca8aa4b6d.h5_-35,Jogador_273bbc85-8620-4684-ab5e-166785035371.h5_-35,Jogador_5d90887c-9326-4706-8d37-cfcc65b6e607.h5_-42,Jogador_1f65c7e7-6966-43cb-9842-19804121b603.h5_-42,Jogador_e44ea52d-7f95-43a2-b8d0-a523979e93a8.h5_-59
Jogador_74350081-e026-407a-8b1f-a22ebfe5e7f3.h5_10,Jogador_024692ca-e6b7-420c-b736-278eec75cb12.h5_6,Jogador_5322adeb-885a-4fcc-a022-637d887ecbde.h5_1,Jogador_e8993888-8fbf-4c41-8f11-06e4b138ce60.h5_0,Jogador_1d6cd45a-3bdd-4d5a-96a0-c80252ee2784.h5_-1,Jogador_1c525178-e8a7-4e83-b891-7c7ecc981d59.h5_-5,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_-5,Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_-7,Jogador_719f3d79-ede2-4d14-939c-77ac3984cc26.h5_-10,Jogador_be765b6f-c567-4934-907a-de3e0f7aedf8.h5_-10,Jogador_442a94dd-4454-4a1f-985b-d21ff067d4a7.h5_-12,Jogador_8ea82cb4-23ae-46ed-a437-c1fdfa0017d0.h5_-16,Jogador_eb168b3d-b501-4726-83bf-3c4befadf000.h5_-18,Jogador_bfa1b022-6b98-4a6c-ac58-17fdde4b7dc0.h5_-18,Jogador_c7d381b8-cfe5-4c0e-9091-cce3b0125cbf.h5_-18,Jogador_6c8f96b3-67ef-413c-b87b-1439acdd68f3.h5_-12,Jogador_34d09a18-6ad3-44b4-9eec-4108332816ce.h5_-13,Jogador_3877e55f-ca98-4b27-b4a6-c296c44addea.h5_-17,Jogador_75a9006f-6125-4dd3-8b27-6b7acef41963.h5_-19,Jogador_f9a45ef7-8688-42c9-96c1-3acf38e98e6b.h5_-19,Jogador_3b4963b8-1c75-47a7-bd34-7579d9486477.h5_-20,Jogador_9f57c309-75d2-4644-8f60-3ea682a5510b.h5_-21,Jogador_36b33473-ee67-4a8f-8d3c-7779e1f31dd2.h5_-28,Jogador_ef71f9ce-1439-4092-aa82-ea33069cf8fc.h5_-31,Jogador_445c76d1-9e9e-45da-bbbc-4133ed69fa05.h5_-31,Jogador_1ec84fbb-025d-40ad-8728-640f313751f8.h5_-35,Jogador_e6894917-6c9d-4e44-b88d-7b1c806e2763.h5_-38,Jogador_91152fb8-9480-439d-8f87-12c05dcb0402.h5_-39,Jogador_9f91b57f-70af-41f8-b184-025a22df07e2.h5_-42,Jogador_a2b37bc5-c8c9-4f72-9417-748642969b84.h5_-63
Jogador_74350081-e026-407a-8b1f-a22ebfe5e7f3.h5_11,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_3,Jogador_8ea82cb4-23ae-46ed-a437-c1fdfa0017d0.h5_-4,Jogador_024692ca-e6b7-420c-b736-278eec75cb12.h5_-5,Jogador_5322adeb-885a-4fcc-a022-637d887ecbde.h5_-5,Jogador_95dcdf83-ff3e-4494-bffe-d58667cca78e.h5_-7,Jogador_1c525178-e8a7-4e83-b891-7c7ecc981d59.h5_-8,Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_-8,Jogador_e8993888-8fbf-4c41-8f11-06e4b138ce60.h5_-9,Jogador_24158b16-e4c7-44b0-a382-8dd481586232.h5_-11,Jogador_719f3d79-ede2-4d14-939c-77ac3984cc26.h5_-12,Jogador_d48f6b51-842a-4c31-9ca6-92bb98e1d655.h5_-14,Jogador_ddb19ef7-667a-425c-b13b-38cd422083c6.h5_-14,Jogador_c7d381b8-cfe5-4c0e-9091-cce3b0125cbf.h5_-17,Jogador_eb168b3d-b501-4726-83bf-3c4befadf000.h5_-18,Jogador_7e1371c4-60c3-454a-90ca-b64a06dcc2e6.h5_-18,Jogador_8ecf0e58-136f-462e-9d9f-9edc23a491e4.h5_-19,Jogador_6738eff0-a5ba-4842-aaf4-22aa446dc96e.h5_-20,Jogador_0f6a593c-165b-40d7-8692-45514dbed598.h5_-24,Jogador_be765b6f-c567-4934-907a-de3e0f7aedf8.h5_-24,Jogador_1d6cd45a-3bdd-4d5a-96a0-c80252ee2784.h5_-24,Jogador_71f2437d-1204-4631-bb60-cc0c13e6c267.h5_-26,Jogador_bfa1b022-6b98-4a6c-ac58-17fdde4b7dc0.h5_-26,Jogador_3b069535-8b54-449e-a91b-318366d33d2b.h5_-28,Jogador_caa15277-5cb4-40fc-ba92-59fa5d750656.h5_-29,Jogador_442a94dd-4454-4a1f-985b-d21ff067d4a7.h5_-29,Jogador_d91cbe1a-5117-4604-a372-f2f4b7f5bed8.h5_-29,Jogador_70e332c4-227b-4d07-963f-182f63275480.h5_-31,Jogador_6bd8fca3-03d3-4a6e-b7ea-23761299665b.h5_-37,Jogador_b3729ad4-f34a-4cb1-947f-4a781ed8682b.h5_-59
Jogador_74350081-e026-407a-8b1f-a22ebfe5e7f3.h5_21,Jogador_95dcdf83-ff3e-4494-bffe-d58667cca78e.h5_12,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_7,Jogador_9a4c2f86-fb87-42ed-9cc7-a66647bfa3ce.h5_4,Jogador_d2de3542-9688-45aa-8ef7-db734f4945c6.h5_-2,Jogador_24158b16-e4c7-44b0-a382-8dd481586232.h5_-5,Jogador_d48f6b51-842a-4c31-9ca6-92bb98e1d655.h5_-5,Jogador_4444f2d3-38b8-448b-a87c-24d8fc7b9b73.h5_-6,Jogador_e8993888-8fbf-4c41-8f11-06e4b138ce60.h5_-9,Jogador_ddb19ef7-667a-425c-b13b-38cd422083c6.h5_-10,Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_-10,Jogador_b99cd1d9-3b19-438c-a9fe-f7e8cc66f9a6.h5_-14,Jogador_c7d381b8-cfe5-4c0e-9091-cce3b0125cbf.h5_-16,Jogador_8ea82cb4-23ae-46ed-a437-c1fdfa0017d0.h5_-17,Jogador_45bc70b4-c95d-47d0-bf51-8f97e479341a.h5_-17,Jogador_cfabade0-7c7b-45f9-8b41-e6219ebf83ec.h5_-5,Jogador_bd2932b8-df09-445f-8a0b-9f26eb64d384.h5_-11,Jogador_024692ca-e6b7-420c-b736-278eec75cb12.h5_-16,Jogador_e308d36f-8f31-4a09-9f0d-860a3076d68f.h5_-18,Jogador_007c329a-54ab-4ccf-b7c3-4f1014373d92.h5_-19,Jogador_1c525178-e8a7-4e83-b891-7c7ecc981d59.h5_-20,Jogador_719f3d79-ede2-4d14-939c-77ac3984cc26.h5_-20,Jogador_5322adeb-885a-4fcc-a022-637d887ecbde.h5_-23,Jogador_53620659-ae43-427f-a8e7-1662ce699834.h5_-26,Jogador_eb168b3d-b501-4726-83bf-3c4befadf000.h5_-42,Jogador_9dfc433e-d840-40d8-9c08-06fff0088f48.h5_-45,Jogador_74e45a2f-7fdc-4521-be67-52e2743b22f5.h5_-48,Jogador_64a3d611-0284-4cfa-8a9b-9a45c6565c75.h5_-52,Jogador_89842189-22d2-41e8-a4b9-2c4496aa14cc.h5_-55,Jogador_1937dae3-652a-42cf-8b1f-c1d27b67b6c6.h5_-73
Jogador_74350081-e026-407a-8b1f-a22ebfe5e7f3.h5_21,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_7,Jogador_c41cbcfd-22a8-4184-85f8-2bcf4ab7757e.h5_4,Jogador_95dcdf83-ff3e-4494-bffe-d58667cca78e.h5_0,Jogador_e8993888-8fbf-4c41-8f11-06e4b138ce60.h5_0,Jogador_0b8651dc-8216-42df-a69f-aa98f1c3d9e5.h5_-5,Jogador_3e43aad8-e016-4af9-9b10-5af1973c538a.h5_-7,Jogador_1ad93323-2f64-4c41-b39d-be9558322eb4.h5_-7,Jogador_591a3e06-556c-47a3-9994-2b56217dd768.h5_-7,Jogador_9a4c2f86-fb87-42ed-9cc7-a66647bfa3ce.h5_-10,Jogador_d48f6b51-842a-4c31-9ca6-92bb98e1d655.h5_-10,Jogador_d7809cee-9e19-4aa1-b2dc-89a70c6feafa.h5_-14,Jogador_24158b16-e4c7-44b0-a382-8dd481586232.h5_-16,Jogador_4444f2d3-38b8-448b-a87c-24d8fc7b9b73.h5_-19,Jogador_8ea82cb4-23ae-46ed-a437-c1fdfa0017d0.h5_-20,Jogador_41df641b-f8f6-42fb-97a9-682207c007ea.h5_-12,Jogador_d2de3542-9688-45aa-8ef7-db734f4945c6.h5_-15,Jogador_bae6201e-ade4-40de-8ac4-9f71df743502.h5_-21,Jogador_b99cd1d9-3b19-438c-a9fe-f7e8cc66f9a6.h5_-21,Jogador_45bc70b4-c95d-47d0-bf51-8f97e479341a.h5_-22,Jogador_a8d5a186-8892-4c64-98d1-dc626f443daf.h5_-22,Jogador_56c9fc5b-83f8-468e-826a-78601f2ef81f.h5_-23,Jogador_29e5746e-7ed6-4e2a-9756-0607957b8dec.h5_-25,Jogador_c7d381b8-cfe5-4c0e-9091-cce3b0125cbf.h5_-26,Jogador_ddb19ef7-667a-425c-b13b-38cd422083c6.h5_-30,Jogador_4e9c88ff-40c5-4914-a035-d4be9c5f5b71.h5_-31,Jogador_9880cb0c-280f-473d-b59a-57c24521caba.h5_-36,Jogador_69362ca2-3577-4acb-8dac-37083d9f9984.h5_-42,Jogador_f6345059-cb20-4ced-bc2b-4b11823cd892.h5_-44,Jogador_ebc1d2e6-b69a-47c4-a101-d1887a8566ae.h5_-47
Jogador_74350081-e026-407a-8b1f-a22ebfe5e7f3.h5_12,Jogador_6ad7b8bf-da40-4627-9103-87a1ba714e20.h5_10,Jogador_e8993888-8fbf-4c41-8f11-06e4b138ce60.h5_8,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_3,Jogador_c41cbcfd-22a8-4184-85f8-2bcf4ab7757e.h5_-2,Jogador_e189901b-e617-4bc5-968b-a78ffb8fc041.h5_-3,Jogador_95dcdf83-ff3e-4494-bffe-d58667cca78e.h5_-5,Jogador_591a3e06-556c-47a3-9994-2b56217dd768.h5_-7,Jogador_d48f6b51-842a-4c31-9ca6-92bb98e1d655.h5_-7,Jogador_51132ed9-f26b-497c-9b2a-db598db7fa89.h5_-8,Jogador_d7e8967b-b146-48f5-9467-0d36a6b972b4.h5_-11,Jogador_9a4c2f86-fb87-42ed-9cc7-a66647bfa3ce.h5_-11,Jogador_3e43aad8-e016-4af9-9b10-5af1973c538a.h5_-15,Jogador_0b8651dc-8216-42df-a69f-aa98f1c3d9e5.h5_-15,Jogador_601d8777-0320-4bfb-bc0f-41de5939a3a0.h5_-19,Jogador_0d96bd5f-683d-435f-a751-bfcf8e7c33fa.h5_-9,Jogador_d7809cee-9e19-4aa1-b2dc-89a70c6feafa.h5_-15,Jogador_1ad93323-2f64-4c41-b39d-be9558322eb4.h5_-22,Jogador_24158b16-e4c7-44b0-a382-8dd481586232.h5_-24,Jogador_9f16a355-9fa5-4cd8-9ac1-fd705310fd96.h5_-25,Jogador_9157c51f-50de-42d2-9fc3-9def0e59b6d5.h5_-25,Jogador_4444f2d3-38b8-448b-a87c-24d8fc7b9b73.h5_-26,Jogador_1945d69c-3fee-49ec-9acd-c1875a2c0819.h5_-27,Jogador_3595e94e-cd7c-4c0a-a900-5a4f657be787.h5_-29,Jogador_7769f7b7-3a2a-44f3-bcd0-8adcaedb518a.h5_-29,Jogador_9c11f6a5-88ba-4915-b703-7899c3ffb4b4.h5_-36,Jogador_8ea82cb4-23ae-46ed-a437-c1fdfa0017d0.h5_-37,Jogador_8ffaa50f-15df-4284-9d0c-a45663b3755a.h5_-37,Jogador_b866312b-806b-45a8-9b3f-db2f039d710f.h5_-51,Jogador_9e268e4c-50c1-4200-9779-bb5ec27de172.h5_-52
Jogador_74350081-e026-407a-8b1f-a22ebfe5e7f3.h5_15,Jogador_e8993888-8fbf-4c41-8f11-06e4b138ce60.h5_8,Jogador_f60bc53e-68cd-4229-b4e4-dda60d4b1312.h5_2,Jogador_1e28d116-96ed-4cdf-a2b0-78c2d1f20254.h5_-4,Jogador_9a4c2f86-fb87-42ed-9cc7-a66647bfa3ce.h5_-5,Jogador_0b8651dc-8216-42df-a69f-aa98f1c3d9e5.h5_-5,Jogador_219bd1f4-33b8-47ba-bd15-3cc6e5a770d9.h5_-5,Jogador_95dcdf83-ff3e-4494-bffe-d58667cca78e.h5_-7,Jogador_51278470-ffca-4b12-8c6d-4542a5f68d35.h5_-7,Jogador_e189901b-e617-4bc5-968b-a78ffb8fc041.h5_-10,Jogador_f7d1b67f-8ef9-4f0b-bed0-576e9d8cb8a3.h5_-14,Jogador_d48f6b51-842a-4c31-9ca6-92bb98e1d655.h5_-17,Jogador_3a640295-3e33-4653-9485-31a3b2056481.h5_-18,Jogador_c41cbcfd-22a8-4184-85f8-2bcf4ab7757e.h5_-18,Jogador_de7bc068-3ff7-4bc4-84c3-eb27b1745551.h5_-23,Jogador_d7e8967b-b146-48f5-9467-0d36a6b972b4.h5_-12,Jogador_cd0c0d9b-b2f7-436d-b0a1-63a3afc17084.h5_-14,Jogador_6ad7b8bf-da40-4627-9103-87a1ba714e20.h5_-17,Jogador_6c876028-7159-4042-94b8-4bb21d873647.h5_-19,Jogador_591a3e06-556c-47a3-9994-2b56217dd768.h5_-23,Jogador_51132ed9-f26b-497c-9b2a-db598db7fa89.h5_-23,Jogador_ec58d679-685a-4941-9961-10a7a97ff7ad.h5_-25,Jogador_61e621de-c900-4989-8c8b-90f029324127.h5_-26,Jogador_b49965b0-eec5-44ea-8cd3-dd0133bdf60d.h5_-27,Jogador_1b54e662-1c5f-41ee-8412-e90d24fccff9.h5_-30,Jogador_3e43aad8-e016-4af9-9b10-5af1973c538a.h5_-32,Jogador_2606ac58-a4cb-4ef8-8ecc-d0af1118d601.h5_-32,Jogador_374cfeb4-525e-4ded-9d50-43e0f6c98962.h5_-34,Jogador_601d8777-0320-4bfb-bc0f-41de5939a3a0.h5_-35,Jogador_97cbf546-ca91-47c8-a928-3f74cf2ce97a.h5_-52
